book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1895_kipling-the-second-jungle-book,43,"['mor', 'flathead', 'warden', 'gonds', 'kill', 'mang', 'dekkan', 'karela', 'benares', 'bhai', 'baloo', 'gunga', 'jackal', 'brahmin', 'purun', 'ferao', 'calcutta', 'lair', 'kabir', 'mugger', 'gavial', 'mowgli', 'hai', 'jungle', 'chil', 'gond', 'outlier', 'delhi', 'free people', 'red dog', 'little brother', 'gray ape', 'jungle law', 'big foot', 'sir purun dass', 'purun bhagat', 'jungle people', 'mugger ghaut', 'gray brother', 'black panther', 'father wolf', 'white cobra', 'purun dass']",30,"['hindus', 'hindu', 'raksha', 'nathoo', 'bagheera', 'sona', 'rains', 'jacala', 'phao', 'martini', 'hathi', 'mysa', 'sedna', 'kaa', 'chikai', 'kali', 'manling', 'messua', 'fate', 'tha', 'thuu', 'akela', 'arrah', 'little frog', 'mother wolf', 'little foot', 'lancaster sound', 'lone wolf', 'shere khan', 'little hunter']",12,"['bhurtpore', 'amoraq', 'khanhiwara', 'kotuko', 'monghyr', 'quiquern', 'sunnyasi', 'seeonee', 'kadlu', 'phaona', 'buldeo', 'seeonee pack']",male
1895_reed-kilgorman-a-story-of-ireland-in-1798,74,"['gnat', 'robespierre', 'mike', 'loman', 'brest', 'con', 'tuileries', 'baskerville', 'duncan', 'galway', 'quai', 'bantry', 'maurice', 'martin', 'arrow', 'sligo', 'sillery', 'havre', 'fahan', 'rotterdam', 'regnier', 'pitt', 'dutchman', 'terence', 'thames', 'paris', 'malin', 'delft', 'paddy', 'flanagan', 'tim', 'talbot', 'dublin', 'morlaix', 'kestrel', 'plon', 'texel', 'benoit', 'chanson', 'foyle', 'adrian', 'larry', 'frenchman', 'donegal', 'terence gorman', 'quai necker', 'lough swilly', 'jake finn', 'mr lestrange', 'maurice gorman', 'mike gallagher', 'lord edward', 'talbot reed', 'depute duport', 'sir charles reed', 'derry jail', 'barry gallagher', 'captain lestrange', 'larry dugan', 'citoyen lestrange', 'joe callan', 'captain swift', 'captain keogh', 'mr blades', 'mr gamble', 'captain felton', 'citoyen duport', 'john cassidy', 'sir ludar', 'captain cochin', 'paddy corkill', 'tim gallagher', 'citizen picquot', 'saint patrick']",25,"['juno', 'diana', 'bailly', 'tara', 'norah', 'cigale', 'biddy', 'vive', 'fanad', 'belin', 'rue', 'zebra', 'alice gorman', 'miss kit', 'mrs shannon', 'miss gorman', 'sheep haven', 'madame duport', 'biddy mcquilkin', 'mary gallagher', 'citizen cazin', 'madame lestrange', 'lady reed', 'kerry keel', 'wolfe tone']",9,"['leaguers', 'whereat', 'girondists', 'dunree', 'scheldt', 'howld', 'rathmullan', 'kilgorman', 'knockowen']",male
1896_collingswood-the-log-of-privateersman,42,"['evans', 'dumaresq', 'mason', 'sal', 'morlaix', 'cartagena', 'dolphin', 'hobbs', 'pierre', 'ollivier', 'kingston', 'frenchmen', 'tigre', 'danton', 'cape', 'cuffee', 'panza', 'corvo', 'george', 'rene', 'gaspar', 'hoard', 'saunders', 'frenchman', 'saint malo', 'captain renouf', 'capn bowen', 'lord nelson', 'julius caesar mark anthony brown', 'cayo grande', 'tom hardy', 'captain winter', 'monsieur renouf', 'captain henri renouf', 'captain chesney', 'mr lovell', 'mr priest', 'long tom', 'great britain', 'mr white', 'monsieur villeneuve', 'peter white']",17,"['roccas', 'manilla', 'dora', 'magdalena', 'musette', 'nord', 'cadiz', 'calypso', 'aunt sophie', 'santa theresa', 'point gallinas', 'belle jeannette', 'hope square', 'jean bart', 'tierra bomba', 'mammy williamson', 'nostra senora']",6,"['abervrach', 'hurrah', 'hoogly', 'comben', 'teneriffe', 'albornos']",male
1897_kipling-captains-courageous-a-story-of-the-grand-banks,55,"['danny', 'albany', 'pedro', 'manuel', 'banker', 'marblehead', 'josephus', 'georges', 'dutchy', 'atlantic', 'galway', 'eldridge', 'qui', 'harve', 'jonahs', 'jim', 'scotch', 'dan', 'barnes', 'disko', 'aeneid', 'haskins', 'harvey', 'tom', 'jason', 'milsom', 'burgess', 'baptist', 'olley', 'jonah', 'gaelic', 'quebec', 'otto', 'miquelon', 'johns', 'frenchman', 'joseph welsh', 'ben ireson', 'mr salters', 'boston light', 'dan troop', 'nick bra', 'parry norman', 'skipper ireson', 'jim bourke', 'uncle salters', 'cape breton', 'disko troop', 'tom platt', 'uncle abishai', 'mr cheyne', 'jacob boiler', 'noo york', 'harvey cheyne', 'long jack']",23,"['constance', 'hasken', 'barstow', 'beverly', 'novy', 'topeka', 'hattie', 'philadelphian', 'pshaw', 'providence', 'virgin', 'carrie', 'madeira', 'marilla', 'lucy holmes', 'cape clear', 'eastern point', 'le have', 'santa fe', 'carrie pitman', 'pennsylvania pratt', 'noo bedford', 'miss kinzey']",5,"['airheart', 'wouverman', 'skibbereen', 'counahan', 'johnstown']",male
1898_collingwood-a-pirate-of-the-caribbees,25,"['tern', 'wyvern', 'jack', 'euterpe', 'guerrilla', 'charpentier', 'garcia', 'dominguez', 'cariacou', 'kingston', 'luis', 'moses', 'miguel', 'caesar', 'francois', 'dunn', 'saint thomas', 'captain tucker', 'black peter', 'plum point', 'captain harrison', 'don pedro morillo', 'captain lemaitre', 'pedro morillo', 'cape mayzi']",14,"['jeannette', 'la', 'lindsay', 'althea', 'keene', 'coquette', 'christie', 'dolores', 'diane', 'hennesey', 'chloe', 'robbins', 'morant point', 'la guayra']",3,"['terns', 'spaniards', 'barbadoes']",male
1898_farrow-the-wallypug-in-london,3,"['boy', 'dick', 'zum']",1,['girlie'],1,['wallypug'],male
1899_collingwood-the-castaways,20,"['ogorman', 'jack', 'tom', 'dirk', 'dutchman', 'jove', 'harry', 'frinch', 'charlie', 'sam', 'mike', 'pacific', 'chips', 'cockney', 'frenchman', 'john withicombe', 'captain dacre', 'misther conyers', 'mr murgatroyd', 'charles conyers']",7,"['ariadne', 'oill', 'florence', 'oi', 'marie renaud', 'lady obrien', 'miss onslow']",2,"['cawnpore', 'scudamore']",male
1899_kipling-stalky-and-co,83,"['afridis', 'foxy', 'richards', 'venner', 'lazar', 'campbell', 'rutton', 'willy', 'slave', 'carson', 'pushtu', 'cokey', 'pathan', 'dick', 'khye', 'padre', 'duncan', 'mcturk', 'cicero', 'dawson', 'hogan', 'shakespeare', 'celt', 'snider', 'emperor', 'excellency', 'beetle', 'navy', 'oke', 'burton', 'aladdin', 'seffy', 'eric', 'macrea', 'collinson', 'gummy', 'ansell', 'swayne', 'ruskin', 'macnamara', 'mac', 'horace', 'randall', 'crandall', 'harrison', 'shylock', 'jove', 'everett', 'orrin', 'sam', 'setebos', 'manders', 'mr mason', 'mr martin', 'swillingford patriot', 'number five', 'lower second', 'fort pearson', 'mr prout', 'mr raymond', 'bates sahib', 'rabbits eggs', 'khye kheen', 'prooshan bates', 'anglo saxon', 'muster corkran', 'koran sahib', 'von lennaert', 'mr corkran', 'number twelve', 'padre sahib', 'khye kheens', 'troop sergeant major', 'mr king', 'master gigadibs', 'master rattray', 'mr hartopp', 'tenth legion', 'raymond martin', 'dick four', 'rutton singh', 'uncle stalky', 'upper third']",21,"['gillett', 'naick', 'keyte', 'patsy', 'fatty', 'craye', 'head', 'simla', 'dabney', 'mary', 'lena', 'heffy', 'tulke', 'aves', 'artie', 'clewer', 'dook', 'fat sow', 'mary yeo', 'head sahib', 'mother yeo']",14,"['naughten', 'sikhs', 'hoofer', 'abanazar', 'perowne', 'maclagan', 'jullunder', 'hakluyt', 'pebbleridge', 'muscovite', 'foxibus', 'umballa', 'stettson', 'gumbly']",male
1900_farrow-the-jungle-baby,2,"['tiv', 'wooff wooff']",3,"['hoodo', 'poon', 'bab']",0,[],male
1900_hemyng-jack-harkaway-and-his-sons-escape-from-the-brigands-of-greece,51,"['joe', 'barclay', 'pedro', 'jocko', 'mike', 'boulgaris', 'dick', 'tomaso', 'sebastian', 'george', 'hercules', 'harpy', 'mathias', 'lirico', 'nero', 'fleon', 'harry', 'constantino', 'snowball', 'toro', 'sam', 'barthes', 'simon', 'geoffrey', 'westward ho', 'robert emmerson', 'julius caesar', 'englishman harkaway', 'young jack', 'monsieur harkaway', 'protean bob', 'mr harkaway', 'dick harvey', 'mr harvey', 'jack harkaway', 'joe basalt', 'old jack', 'mr nabley', 'mr pike', 'master hunston', 'jack tiller', 'geoffrey martin', 'master jack', 'doctor anderson', 'harry girdwood', 'mr mole', 'magog brand', 'mr jefferson', 'sam mason', 'mr jack harkaway', 'billy longbow']",14,"['dougherty', 'diana', 'lerna', 'marietta', 'mariana', 'emily', 'theodora', 'lethe', 'chloe', 'massa jack', 'contessa maraviglia', 'massa ikey', 'poor mole', 'poor pike']",1,['ymeniz'],male
1906_collingwood-across-the-spanish-main-a-tale-of-the-sea-in-the-days-of-queen-bess,28,"['gomez', 'sotomayor', 'tunis', 'mathews', 'philip', 'jose', 'harry', 'mundo', 'alvarez', 'martin', 'mejico', 'tarik', 'jake', 'dons', 'cary', 'tiger', 'san juan', 'pentillie manor', 'master trevose', 'walter bevan', 'captain cavendish', 'roger roger', 'de soto', 'jake irwin', 'lonely inlet', 'stag royal', 'jose leirya', 'william evans']",12,"['gloria', 'tamar', 'mary', 'elizabeth', 'ai', 'vera cruz', 'maria dolorosa', 'black pearl', 'la guayra', 'sutton pool', 'mary edgwyth', 'el capitan']",2,"['spaniards', 'corsarios']",male
1907_collingwood-with-airship-and-submarine-a-tale-of-adventure,22,"['barker', 'petrovich', 'paul', 'ophir', 'makolo', 'boris', 'humber', 'devonshire', 'george', 'peter', 'squire', 'colonel lethbridge', 'captain popovski', 'von schalckenberg', 'sir reginald elphinstone', 'saint petersburg', 'captain mildmay', 'great britain', 'great spirit', 'count vasilovich', 'sir reginald', 'ludwig gadd']",6,"['mlle', 'africa', 'm', 'baroda', 'lady elphinstone', 'lady olivia']",9,"['pargolovo', 'feodorovna', 'lobelalatutu', 'lualamba', 'seketulo', 'sakhalien', 'siswani', 'mbongwele', 'feodorovna sziszkinski']",male
1908_collingwood-a-middy-in-command-a-tale-of-the-slave-squadron,38,"['shark', 'pringle', 'jose', 'higgins', 'tonkin', 'burgess', 'sinclair', 'martin', 'carter', 'mowbray', 'fonseca', 'dominique', 'kingston', 'jones', 'simpson', 'mike', 'juan', 'thompson', 'freeman', 'briggs', 'dick', 'fawcett', 'morgan', 'sir timothy', 'san domingo', 'senor grenvile', 'captain bentinck', 'sir timothy tompion', 'captain ricardo', 'mr seaton', 'captain matthews', 'mistah grenvile', 'captain williams', 'saint vincent', 'sir thomas', 'long tom', 'false gap', 'master jack']",16,"['patsy', 'francesca', 'mammy', 'keene', 'dolores', 'hales', 'taylor', 'mrs todd', 'mrs morton', 'mrs jenkins', 'morant point', 'lady mary', 'miss duncan', 'senorita lotta', 'lady tompion', 'dona inez']",3,"['grenadines', 'barracouta', 'beardmore']",male
