book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1858_farrar-eric-or-little-by-little,40,"['duncan', 'macbeth', 'barker', 'john', 'eddy', 'georgic', 'gibson', 'owen', 'carter', 'cesar', 'roberts', 'montagu', 'graham', 'llewellyn', 'vernon', 'brigson', 'ayrton', 'charlie', 'homer', 'billy', 'monty', 'bull', 'shakspeare', 'horace', 'verny', 'edwin', 'jim', 'wright', 'owenite', 'walter rose', 'vernon williams', 'mr gordon', 'edwin russell', 'charles wildney', 'mr harley', 'eric williams', 'mr ready', 'maister davey', 'mr williams', 'mr lawley']",12,"['fanny', 'easter', 'ellan', 'roslyn', 'brie', 'brooking', 'pietrie', 'stormy petrel', 'avon glen', 'poor williams', 'jolly herring', 'poor eric']",10,"['fairholm', 'attlay', 'silverburn', 'starhaven', 'avonley', 'riverbend', 'charlesbury', 'coryphaeus', 'bombastes furioso', 'kibroth hattaavah']",male

1861_hughes-tom-brown-at-oxford,41,"['joe', 'kennington', 'sandford', 'grange', 'sanders', 'harry', 'jove', 'nibble', 'solomon', 'blake', 'raleigh', 'arthur', 'adam', 'david', 'jones', 'barton', 'umbala', 'simon', 'farley', 'higgs', 'henry', 'saunders', 'monsieur', 'harry winburn', 'wessex freeman', 'mr schloss', 'her majesty', 'albert gate', 'mr hardy', 'mr grey', 'mr east', 'eaton square', 'master tom', 'mr walker', 'master larry', 'harry east', 'van john', 'mr drysdale', 'rotten row', 'mr smith', 'mr brown']",8,"['patty', 'oriel', 'katie', 'gipsy', 'chanter', 'lady mary', 'miss winter', 'temple bar']",5,"['englebourn', 'lamentations', 'wurley', 'steventon', 'englebourn common']",male

1862_farrar-st-winfreds-the-world-of-school,59,"['rex', 'danvers', 'dimock', 'fuzby', 'ken', 'paton', 'flip', 'famulus', 'dante', 'lane', 'jones', 'cradock', 'elgood', 'anthony', 'virgil', 'arty', 'symes', 'johnny', 'dr', 'joshua', 'edwards', 'dan', 'herodotus', 'viscount', 'coles', 'norman', 'augustus', 'devil', 'hanley', 'dubbs', 'semlyn', 'charlie', 'mac', 'giles', 'howards', 'macon', 'plumber', 'harry', 'henderson', 'arthur', 'halloa', 'ra', 'walter', 'franklin', 'uriel', 'bryce', 'smythe', 'mr noel', 'charlie evson', 'sir lawrence power', 'arthur eden', 'harry kenrick', 'master daubeny', 'howard tracy', 'walter evson', 'saint george', 'mr percival', 'mr robertson', 'dr keith']",14,"['somers', 'raven', 'bliss', 'mud', 'shelley', 'achan', 'amphion', 'mrs evson', 'mrs daubeny', 'mrs kenrick', 'saint winifred', 'saint win', 'lady power', 'poor daubeny']",9,"['hugginson', 'harpour', 'appenfell', 'noelite', 'bardlyn', 'noelites', 'blissidas', 'evides', 'typhoeus']",male

1863_ballantyne-fighting-the-whales,8,"['bob', 'neptune', 'tom', 'fred', 'robert', 'bill', 'bill blunt', 'tom lokins']",0,[],0,[],male

1863_kingsley-the-water-babies,0,[],0,[],0,[],male

1865_ballantyne-the-lighthouse,44,"['dalls', 'joe', 'wilson', 'badger', 'samson', 'davy', 'provost', 'ned', 'starboard', 'ralph', 'strachan', 'tory', 'scott', 'bremner', 'pup', 'jacob', 'smeaton', 'paddy', 'eddystone', 'pharos', 'hush', 'frenchman', 'jamie', 'davy spink', 'robinson crusoe', 'long forsyth', 'george forsyth', 'big swankie', 'uncle ogilvy', 'johnny gray', 'eddystone lighthouse', 'jock swankie', 'jamie dove', 'major stewart', 'john watt', 'joe dumsby', 'robert selkirk', 'robert stevenson', 'james dove', 'mr stevenson', 'mr winstanley', 'ned oconnor', 'peter logan', 'captain ogilvy']",11,"['ruby', 'lindsay', 'minnie', 'maggie', 'termagant', 'lindsays', 'janet', 'miss gray', 'ruby brand', 'gaylet pot', 'minnie gray']",2,"['britons', 'arbrought']",male

1865_carroll-alices-adventures-in-wonderland,10,"['lizard', 'gryphon', 'eaglet', 'panther', 'hatter', 'knave', 'mouse', 'mock turtle', 'father william', 'white rabbit']",9,"['alice', 'dormouse', 'lory', 'mabel', 'dinah', 'pat', 'beautiful soup', 'mary ann', 'cheshire cat']",0,[],male

1869_dickens-david-copperfield,93,"['joe', 'roman', 'ury', 'doady', 'mortimer', 'edward', 'shakespeare', 'adams', 'bush', 'tipp', 'tom', 'charley', 'tommy', 'strap', 'wilkins', 'jip', 'uriah', 'william', 'macbeth', 'john', 'grainger', 'francis', 'tungay', 'brooks', 'joram', 'thomas traddles', 'mr heep', 'mr maldon', 'robinson crusoe', 'mr spiker', 'mr dixon', 'mr tiffey', 'roderick random', 'mr jack', 'old tiffey', 'mr creakle', 'mr dick', 'uriah heep', 'number twenty seven', 'lord chancellor', 'mr spenlow', 'mr tidd', 'than agnes', 'uncle dan', 'master micawber', 'captain hopkins', 'mr henry spiker', 'mr mell', 'mr traddles', 'mister copperfield', 'mick walker', 'mr waterbrook', 'mr murdstone', 'david copperfield', 'lord mayor', 'king charles', 'tom jones', 'mr jorkins', 'jack maldon', 'gil blas', 'scotch croesus', 'master davy', 'doctor strong', 'mr steerforth', 'mr dolloby', 'mr bodgers', 'twenty eight', 'mr david', 'suffolk punches', 'wilkins micawber', 'mr chestle', 'mr quinion', 'mr peggotty', 'mr gulpidge', 'mr thomas traddles', 'twenty seven', 'red whisker', 'mr omer', 'mr mills', 'trotwood copperfield', 'mr sharp', 'mr littimer', 'mr copperfull', 'mr larkins', 'master david', 'tommy traddles', 'mr jack maldon', 'mr james', 'captain bailey', 'mr wickfield', 'thomas benjamin', 'mr barkis', 'james steerforth']",50,"['polly', 'emly', 'martha', 'jane', 'markham', 'britannia', 'minnie', 'annie', 'sarah', 'beein', 'sophy', 'emma', 'clara', 'rosa', 'julia', 'martha endell', 'miss murdstone', 'doctor mell', 'betsey trotwood', 'agnes wickfield', 'miss dora', 'mealy potatoes', 'little tafflin', 'miss betsey', 'mary anne', 'miss spenlow', 'rosa dartle', 'miss larkins', 'julia mills', 'miss trotwood', 'miss clarissa', 'little emily', 'miss betsey trotwood', 'miss micawber', 'miss mowcher', 'sister lavinia', 'betsey trotwood copperfield', 'little blossom', 'sister clarissa', 'miss dartle', 'jane murdstone', 'clara peggotty', 'ham peggotty', 'miss lavinia', 'missis gummidge', 'emma micawber', 'miss creakle', 'dora spenlow', 'miss agnes', 'miss shepherd']",4,"['pidger', 'blackfriars', 'grinby', 'blunderstone rookery']",male

1870_hemyng-jack-harkaways-boy-tinker-among-the-turks,42,"['frankish', 'joe', 'allah', 'tinker', 'harry', 'albatross', 'prophet', 'bluebeard', 'rook', 'frank', 'marseilles', 'shitan', 'mogador', 'turk', 'clermont', 'herbert', 'frenchman', 'mr harkaway', 'dick harvey', 'joe deering', 'uncle dick', 'harry girdwood', 'nat cringle', 'kallum beg', 'young jack', 'mr jack', 'mr mole', 'mr figgins', 'mr velasquez', 'captain gonzales', 'mr chivey', 'jack harkaway', 'captain deering', 'old jack', 'herbert murray', 'mark antony figgins', 'doctor berteaux', 'mr murray', 'pierre lenoir', 'captain willis', 'monsieur delamarre', 'captain robinson']",7,"['lor', 'bogey', 'paquita', 'bosja', 'massa figgins', 'hocquart clermont delamarre', 'little emily']",3,"['markby', 'giaour', 'jehanum']",male

1871_carroll-through-the-looking-glass,16,"['goat', 'hatta', 'jabberwock', 'tweedledee', 'gnat', 'bandersnatch', 'carpenter', 'unicorn', 'addition', 'tweedledum', 'hush', 'anglo saxon', 'looking glass', 'humpty dumpty', 'red king', 'white king']",8,"['kitty', 'daisy', 'fawn', 'dinah', 'frog', 'red queen', 'white knight', 'queen alice']",1,['haigha'],male

1871_macdonald-at-the-back-of-the-north-wind,17,"['jack', 'john', 'sal', 'adam', 'orion', 'joseph', 'durante', 'jim', 'herodotus', 'little boy blue', 'mr coleman', 'mr dyves', 'mr stonecrop', 'bo peep', 'mr north wind', 'mr raymond', 'mr evans']",8,"['nanny', 'ruby', 'martha', 'north wind', 'little bo peep', 'old diamond', 'birdie brown', 'miss coleman']",1,['kilmeny'],male

1871_macdonald-ranald-bannermans-boyhood,0,[],0,[],0,[],male

1872_ballantyne-the-pioneers,13,"['wolf', 'ducette', 'louis', 'lawrence', 'scot', 'darkeye', 'bluenose', 'reuben', 'english chief', 'fort chipewyan', 'alexander mackenzie', 'reuben guff', 'rocky mountains']",3,"['muskrat', 'monsieur mackenzie', 'le roux']",2,"['coppernose', 'swiftarrow']",male

1872_macdonald-the-princess-and-the-goblin,8,"['peterson', 'hop', 'tom', 'helfer', 'peter', 'royal highness', 'sir walter', 'your majesty']",3,"['lootie', 'glump', 'princess irene']",2,"['curdie', 'harelip']",male

1873_ballantyne-life-in-the-red-brigade,18,"['bob', 'joe', 'roman', 'fred', 'davy', 'ned', 'david', 'jeff', 'phil', 'bobby', 'mr sparks', 'joe dashwood', 'david clazie', 'fred crashington', 'phil sparks', 'ned crashington', 'bob clazie', 'raw herring']",14,"['mag', 'betty', 'martha', 'mary', 'molly', 'maggie', 'miss reading', 'mrs middleton', 'mary dashwood', 'may dashwood', 'mrs dashwood', 'little jim', 'mrs crashington', 'martha reading']",2,"['bloater', 'ladbroke square']",male

1873_macdonald-gutta-percha-willie-the-working-genius,4,"['priory', 'hector', 'mr macmichael', 'mr shepherd']",4,"['mona', 'gutta percha willie', 'priory leas', 'mrs wilson']",0,[],male

