book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1884_molesworth-the-little-old-portrait,25,"['felix', 'ludovic', 'victorine', 'albert', 'martin', 'pierrot', 'louis', 'marquis', 'valmont', 'monsieur', 'machard', 'roger', 'count', 'collet', 'touraine', 'paris', 'joseph', 'madame delmar', 'pierre germain', 'monsieur pierre', 'madame marcel', 'farmer marcel', 'monsieur edmond', 'madame marceau', 'madame germain']",20,"['marguerite', 'jean', 'choisy', 'louise', 'sarinet', 'lille', 'nanette', 'rue', 'marquise', 'madame', 'mademoiselle', 'marie', 'countess', 'madelon', 'francoise', 'marguerite ribou', 'mademoiselle edmee', 'mother germain', 'sister angelique', 'edmee germain']",1,['citizeness dupuis'],female
1904_meade-a-modern-tomboy-a-story-for-girls,14,"['bretts', 'buzz', 'james', 'bob', 'fuzz', 'sunnyside', 'frosty', 'cartery', 'roger', 'hugh', 'hughie', 'professor merriman', 'hans andersen', 'mr singleton']",38,"['laura', 'puss', 'janey', 'agnes', 'bertha', 'janet', 'florence', 'annie', 'maud', 'phyllis', 'betty', 'aggie', 'alice', 'rosamund', 'jasmine', 'miss irene', 'phyllis flower', 'agnes sparkes', 'miss lucy', 'laura everett', 'jane denton', 'miss merriman', 'annie millar', 'maud singleton', 'mademoiselle omont', 'sister emily', 'aunt susy', 'miss cunliffe', 'rosamund cunliffe', 'mary ann', 'miss archer', 'miss frost', 'aunt susan', 'lucy merriman', 'miss carter', 'agnes frost', 'lady jane', 'lady jane ashleigh']",1,['rectory'],female
1913_nesbit-wet-magic,11,"['mermaids', 'bernard', 'fido', 'francis', 'granny', 'reuben', 'museum', 'astrologer', 'cathay', 'eric', 'mer king']",9,"['elsie', 'sabrina', 'mavis', 'maia', 'mermaid', 'princesses', 'kathleen', 'aunt enid', 'princess freia']",4,"['beachfield', 'conchology', 'monarchs', 'ulfin']",female
1886_hodgson-burnett-little-lord-fauntleroy,29,"['james', 'higgins', 'selim', 'tom', 'newick', 'dick', 'ceddie', 'maurice', 'dawson', 'ben', 'michael', 'earl', 'jake', 'jerry', 'dougal', 'cedric errol', 'captain cedric errol', 'captain errol', 'george washington', 'mr hobbs', 'mr thomas', 'mr havisham', 'sir harry', 'captain cedric', 'lord fauntleroy', 'silas hobbs', 'mr mordaunt', 'ceddie errol', 'billy williams']",10,"['jane', 'bridget', 'mary', 'molyneux', 'miss smiff', 'lady fauntleroy', 'miss herbert', 'aunt constantia', 'lady lorridaile', 'miss vivian herbert']",1,['erleboro'],female
1911_burnett-the-secret-garden,20,"['bob', 'barney', 'pitcher', 'ben', 'yorkshire', 'basil', 'medlock', 'john', 'ben weatherstaff', 'mr archibald craven', 'bob haworth', 'master colin', 'mr craven', 'red riding hood', 'did dickon', 'captain lennox', 'missel moor', 'misselthwaite manor', 'mr roach', 'jem fettleworth']",17,"['magic', 'soot', 'rajahs', 'missus', 'mercy', 'ayah', 'mistress', 'susan', 'rajah', 'martha', 'missie sahib', 'mester craven', 'mester colin', 'miss mary', 'mistress mary', 'susan sowerby', 'mary lennox']",1,['misselthwaite'],female
1895_ewing-the-peace-egg-and-other-tales,26,"['dragon', 'dragons', 'vesuvius', 'william', 'saladin', 'nicholas', 'dick', 'snap', 'jester', 'georgy', 'harry', 'yorkshire', 'hector', 'christendom', 'themistocles', 'turkish knight', 'master robert', 'captain calftail', 'guy fawkes', 'godfather garbel', 'valiant slasher', 'man jack', 'master robin', 'rouge pot', 'mr skratdj', 'mr bull']",14,"['patty', 'kitty', 'jemima', 'sarah', 'dora', 'polly', 'betsy', 'darkie', 'pax', 'dame dolly', 'little man jack', 'peace egg', 'lucy jane', 'grand sword dance']",2,"['pilgrims', 'britons']",female
1898_everett_green-a-clerk-of-oxford-and-his-adventures-in-the-barons-war,34,"['osney', 'richard', 'tush', 'guy', 'gilbert', 'thomas', 'jack', 'nicholas', 'amalric', 'tito', 'barons', 'chancellor', 'horn', 'earl', 'roger', 'hugh', 'leofric', 'edmund', 'lord henry', 'roger mortimer', 'father ambrose', 'lord simon', 'de clare', 'de montfort', 'earl simon', 'norman french', 'prince edward', 'jack dugdale', 'brave montfort', 'sir humphrey', 'leofric wyvill', 'tito balzani', 'de montforts', 'gilbert barbeck']",9,"['eleanora', 'linda', 'demoiselle', 'countess', 'barbier', 'lotta', 'domus dei', 'sweet alys', 'dame margaret']",1,['alemagne'],female
1896_meade-a-little-mother-to-the-others,26,"['fortune', 'simpson', 'tom', 'matty', 'jack', 'conrad', 'noah', 'phil', 'hush', 'di', 'stevie', 'david', 'fortune squeers', 'pole star', 'master orion', 'uncle william', 'matty bell', 'greased lightning', 'ben holt', 'uncle ben', 'david delaney', 'mr dolman', 'mr delaney', 'master philip', 'master apollo', 'rodesia lee']",22,"['lucy', 'peggy', 'mary', 'susan', 'evangeline', 'aunt sarah', 'aunt jane dolman', 'miss stevenson', 'delaney manor', 'diana delaney', 'miss iris', 'aunt sawah', 'poor rub', 'bessie darling', 'miss wamsay', 'miss ramsay', 'miss diana', 'mother rodesia', 'super ashton', 'miss ann', 'aunt jane', 'susan jenkins']",2,"['wectory', 'madersley']",female
1891_molesworth-nurse-heatherdales-story,6,"['franz', 'larkins', 'uncle bevil', 'uncle francis', 'sir hulbert', 'master francis']",5,"['martha', 'miss lally', 'aunt lally', 'miss marian', 'miss bess']",1,['treluan'],female
1903_potter-the-tale-of-squirrel-nutkin,0,[],0,[],0,[],female
