book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex

1866_yonge-the-prince-and-the-page-a-story-of-the-last-crusade,71,"['bishop', 'levant', 'templar', 'poitevin', 'christian', 'anjou', 'tunis', 'raynal', 'maremma', 'genoese', 'baldric', 'ash', 'leon', 'scots', 'savoy', 'pope', 'norman', 'montfort', 'valence', 'philippe', 'gascon', 'longshanks', 'hob', 'thomas', 'emir', 'hospitalier', 'marisco', 'saracen', 'trapani', 'carthage', 'mohun', 'dunster', 'mortimer', 'guy', 'templars', 'saracens', 'alexander', 'richard king', 'sir raynald', 'nick dustifoot', 'richard fowen', 'brother hilary', 'welsh winny', 'bristol channel', 'de gourdon', 'provost marshal', 'cousin edward', 'earl gilbert', 'hob longbow', 'sir page', 'prince edmund', 'prince henry', 'sir john', 'father robert', 'king charles', 'louis ix', 'father adam', 'old ballad', 'sir simon', 'bethnal green', 'sir robert darcy', 'master samson', 'grand prior', 'sir reginald', 'sir reginald ferrers', 'lord richard', 'blind hal', 'lord mayor', 'king louis', 'lingua franca', 'sir raynald ferrers']",16,"['sicily', 'dido', 'clare', 'midsummer', 'beatrix', 'joyce', 'hamlyn', 'joan', 'pyrenees', 'hermon', 'bessee', 'countess maud', 'mother jugge', 'poor clares', 'princess eleanor', 'dame idonea']",5,"['osbright', 'moorfields', 'leonillo', 'druses', 'montforts']",female

1867_stretton-jessicas-first-prayer-and-jessicas-mother,3,"['brookes', 'daniel standring', 'mr daniel']",4,"['jess', 'jessica', 'miss jane', 'miss winny']",0,[],female

1868_stretton-little-megs-children,5,"['robbie', 'robin', 'robert fleming', 'mr george', 'dr christie']",6,"['thy', 'kitty', 'meg', 'peggy', 'mrs christie', 'mrs blossom']",0,[],female

1869_ewing-mrs-overtheways-remembrances,19,"['metcalfe', 'john', 'cotton', 'irishman', 'roman', 'barker', 'granny', 'carlo', 'walton', 'thompson', 'mr joseph', 'father albatross', 'john smith', 'mr moss', 'mr ward', 'mr bartlett', 'uncle james', 'mr sandford', 'uncle garbett']",19,"['cecy', 'kate', 'gerda', 'cecilia', 'nursey', 'elizabeth', 'nurse', 'fatima', 'sarah', 'miss jones', 'sandy tom', 'miss lucy', 'poor anastatia', 'miss ida', 'miss eden', 'aunt harriet', 'mother albatross', 'miss mary', 'miss martha']",1,['hicksons'],female

1869_ewing-the-land-of-lost-toys,11,"['wash', 'noah', 'boggart', 'deor', 'johnnie', 'granny', 'sam', 'tommy', 'farmer swede', 'tommy trout', 'son thomas']",5,"['puss', 'brownie', 'brownies', 'tailor', 'miss dot']",2,"['boggarts', 'deordie']",female
